PO Number,Item,Company Code,Vendor ID,Vendor Name,Date,Material,Description,Quantity,Unit Price,Value,Status
45000100,10,1000,V001,Acme Corp,2026-08-01,MAT001,Steel Pipe,100,10.0,1000.0,CLOSED
45000110,10,1000,V002,Tech Solutions,2026-08-02,MAT002,Circuit Board,50,100.0,5000.0,OPEN
45000120,10,1000,V003,Global Logistics,2026-08-05,MAT003,Shipping Containers,5,2000.0,10000.0,OPEN
45000130,10,1000,V004,Office Supplies Ltd,2026-08-08,MAT004,Office Desks,10,300.0,3000.0,OPEN
45000131,10,1000,V006,Vendor V006,2026-08-10,MAT005,Industrial Pump,1,12000.0,12000.0,OPEN
45000131,20,1000,V006,Vendor V006,2026-08-10,MAT006,Valves,10,150.0,1500.0,OPEN
45000140,10,1000,V005,Apex Construction,2026-08-12,MAT007,Cement Bags,500,8.0,4000.0,OPEN
45000150,10,1000,V006,Vendor V006,2026-08-15,MAT001,Steel Pipe,20,10.0,200.0,CLOSED
45000150,20,1000,V006,Vendor V006,2026-08-15,MAT008,Hydraulic Fluid,50,40.0,2000.0,OPEN
45000160,10,1000,V007,Alpha Services,2026-08-18,MAT009,Consulting Hours,50,100.0,5000.0,OPEN
45000170,10,1000,V006,Vendor V006,2026-08-20,MAT010,Generator set,1,25000.0,25000.0,OPEN
