PO Number,Item,Type,Document,Date,Quantity,Value
45000100,10,GR,50000001,2026-08-03,100,1000.0
45000100,10,IR,90000001,2026-08-05,100,1000.0
45000110,10,GR,50000002,2026-08-04,30,3000.0
45000110,10,IR,90000002,2026-08-06,30,3000.0
45000120,10,GR,50000003,2026-08-07,4,8000.0
45000120,10,IR,90000003,2026-08-09,3,6000.0
45000130,10,GR,50000004,2026-08-10,3,900.0
45000130,10,IR,90000004,2026-08-11,10,3000.0
45000131,10,GR,50000005,2026-08-12,0.4,4800.0
45000131,10,GR,50000006,2026-08-14,0.38,4600.0
45000131,10,IR,90000005,2026-08-15,0.78,9360.0
45000131,20,GR,50000007,2026-08-12,10,1500.0
45000131,20,IR,90000006,2026-08-15,10,1500.0
45000150,10,GR,50000008,2026-08-17,20,200.0
45000150,10,IR,90000007,2026-08-19,20,200.0
45000160,10,GR,50000009,2026-08-20,50,5000.0
45000160,10,IR,90000008,2026-08-22,50,6000.0
